Author,Review,Review Date
Dar,"Bought refurbished version but it was still pretty good. A nice step up from the junky tablets under $200.

Will say that I expected it to have a SIM card slot since it's supposed to be 5G capable but the card insert didn't have a place for it.

It's also pretty good for digital art drawing with the Samsung pen with great response time, though I have not tested it with anything else. Used Ibis paint app with it.

Would highly recommend a case that holds the pen securely as it can be easy to lose or damage it, and I doubt the S-pen is cheap to replace.

All in all seems like a solid tablet and ya won't break the bank like ya would with an iPad.","Reviewed in the United States on March 14, 2024"
Yadda Yadda,"I owned a Tab A7 for a couple of years and the battery started expanding, pushing the screen outwards. Time to purchase a new tablet before it started a fire. Decided on the Samsung Tab S9 FE+ and have not regretted it. So much faster and a much bigger screen with a vivid display. Only drawback is it's a bit on the heavy side.","Reviewed in the United States on April 7, 2024"
Javier,"Es una muy buena opción llevo 3 meses usándola, laboral, estudiantil y personal es una excelente tablet, no se traba, corre casi todo, mi única queja es que en la descripción indicaba que traía el protector y es mentira solo viene la tablet por unos días la use sin protector pero es mejor con su protector da seguridad y el original viene con el protector del lápiz que es una genialidad","Reviewed in the United States on April 2, 2024"
Erica Heath,"Love the tablet. Perfect for a digital artist. Screen is sensitive for the S pen, so perfect for drawing. Not many updates during shipping so hard to know where it was or when to be around to sign for it. Delivery lady was on time and friendly once the delivery time actually updated. Tablet DID NOT come with the ""book cover"" case that was listed in ""included compenents"" in the ad. They couldn't do anything about it unless I sent the whole thing back and couldn't just send me the book cover or a small credit to turn around and buy my own. Disappointed with that. Good tablet though.","Reviewed in the United States on March 13, 2024"
Barbara Phillips,"Samsung makes great products and this is one, however I needed to return it because I got one that better suited my needs. When I returned it I had to pay $2 for a label then they also subtracted $12.50 for shupping from my return 😠","Reviewed in the United States on April 5, 2024"
Jj,Got the item it was well packaged to get out very nice product so far happy just trying to figure out the insurance that I'm the extra insurance that I bought to cover it that's all,"Reviewed in the United States on March 31, 2024"
Craig Cooper,Arrived early was fine packaged correctly everything has worked as it should no problems at all,"Reviewed in the United States on April 11, 2024"
dimples,This is a great tablet but I needed it for a small business start up and not for everything I needed it for. I was having issues with everything i loaded on it. It might not have been the tablet just me,"Reviewed in the United States on March 26, 2024"
MS,"Me encantó la tableta, funciona de manera rápida, es útil para lo que requiero pero mi única queja es que no funciona para proyectar en HDMI, lo cual es terrible. Soy profesora y pensé que podría usarla para presentar en clase pero no fue así.","Reviewed in the United States on March 19, 2024"
MaryB,I have received the tablet today and it just looks beautiful and perfectly for a student I will definitely recommend 👌,"Reviewed in the United States on April 4, 2024"
angel erazo molina,"me gusto por que mi hija estudiante de medicina le facilita el estudio , la consulta y el entretenimiento y comunicacion","Reviewed in the United States on April 4, 2024"
Rick,Big improvement from my Fire HD 10. Fast and I really like the compatibility with my phone and laptop.,"Reviewed in the United States on April 1, 2024"
Rance,I purchased 2 of these for my wife and I. We used them on a LONG flight to New Zealand from Texas. We was about to download a lot of shows to watch and never had to charge them from start to finish. 16+ hours flight.,"Reviewed in the United States on March 21, 2024"
Keisy Asendra,"Esta tablet es todo lo que buscaba. Es resistente, rápida, el táctil es fantástico, la pantalla se ve con una resolucion excelente, las funciones con el lapiz son de lo mejor y la respuesta es rapida no hay delay. Cumplió todas las expectativas.","Reviewed in the United States on March 16, 2024"
Novey234,I'm loving my new tablet. It was easy to setup and use.,"Reviewed in the United States on April 9, 2024"
Jake,"Performance: So far its been able to handle anything I do without many problems. Im able to use large 4000px + canvas sizes on multiple drawing apps w/o any lag or crashing. Simple editing on 4k videos also isn't a problem. But weirdly, the one thing it struggles on is screen mirroring. It'll disconnect or even out right crash sometimes, it happens often enough that I've stopped using it completely.
Battery: I only charge up to 85% and I still spend 10+ hours drawing with music on in the background without power saving on. The charging is also pretty fast.
Other: I wish the s pen was more comfortable, drawing or writing with it is painful for long periods - it needs a grip. The oem nib is ok, but a textured screen protector + metal nib feels necessary for drawing/writing.","Reviewed in the United States on February 9, 2024"
Yeremy Godoy,"Hello, this review is to mention that I am very happy with the product, but as I understood the cover came in the purchase, but in the box there was no gift cover, luckily I came up with the idea of adding a separate generic cover but it is wrong that the product that includes the cover appears in the images when it is not |","Reviewed in the United States on March 4, 2024"
Alexis Perez,"I'm a teacher, and was looking for something good and inexpensive to use to write on PDF of assignments and test. It is simply amazing. I love it, the S-Pen is amazing, and the Battery Life too.

Drawing is one of my hobbies, so its also really awesome at that too.","Reviewed in the United States on March 13, 2024"
Dent Hales,It's a very nice tablet. I am really enjoying using it.,"Reviewed in the United States on April 7, 2024"
Estefania O,Perfect función and nice imagen.,"Reviewed in the United States on April 11, 2024"
Robert Trezelle,Will be getting one for my daughter,"Reviewed in the United States on April 7, 2024"
Karina,"Muy satisfecha, me encantó","Reviewed in the United States on April 11, 2024"
chellie,"I bought this to be used as a digital planner. I didn't need the fancy stuff and I thought it was too big for my needs as a teacher. I decided to go with the smaller version, the 10.9, because of the price as well. If you are using this for gaming, than this is for you. Otherwise, the smaller one does what I needed and I am happy that I returned this for the smaller version.","Reviewed in the United States on February 18, 2024"
mbender,"I needed a new tablet since my other one had a UI System notification come up. The system was going out after 4 years. This tablet is fast and battery life on it lasts. I play games, music, videos, run cameras, and take credit card payments on it throughout each day. Like any other device, the more you use it, the more the battery drains. I'm usually on it full force for 6 to 7 hours before it let's me know my battery is at 15%. I'm at 50/59 at clearing my apps when I switch from one to the other, I keep a charger next to me all day, and I could get more out of the battery if I was more picky about it.

The pen works very well too. I've noticed I use the pen more on this tablet than any other tablet I've had prior. I got the 256gb on this one and surprisingly enough, I haven't had to delete stuff to make more room. If it had calling and texting on it permanently, I would be on the tablet more than my phone.

I mainly use it on the homes wifi so no need to spend an extra $27 for service on the tablet. If I need wifi connected on this tablet, I just connect it to my cell phone. All our phones have unlimited everything so it pays to use it.","Reviewed in the United States on December 21, 2023"
Tina Hall,"I'm sure the battery life would be better IF I didn't play games on it so much most of the day. Otherwise, it's a fabulous tablet! I just wish they gave me a charging cable instead of the type C to type C cable to switch apps, etc. What a waste of space in the box since I can do that over Wi-fi. I really did not need that cable. I NEED a charging cable! Why would they sell something without a way to charge it???? Extra??? Makes me think ""batteries not included""!!! Come on, Samsung. You can DO BETTER!!! Still love the tablet, though.","Reviewed in the United States on February 14, 2024"
Pinolillo,Q está shido,"Reviewed in the United States on April 7, 2024"
Fernando Molina Guzman,El Performance,"Reviewed in the United States on April 10, 2024"
Julie,"Excelente 👌 envio rapido, justo lo que pedi.","Reviewed in the United States on April 5, 2024"
JOSEPH S.,"I also have the s9 ultra. But wanted something smaller to take with me. It is everything its larger brother is, but in a smaller profile. It is fast and picture quality fantastic. I like the size at 10.9 inch. Also 5g for Verizon.","Reviewed in the United States on March 8, 2024"
Amazon Customer,"Very nice fits perfectly, love it","Reviewed in the United States on April 1, 2024"
Amazon Customer,"El producto en excelentes condiciones, con la calidad característica de Samsung, pero en la descripción de mismo se menciona el case de fábrica que venía como accesorio en la caja junto al cable y el SPEN original, pero a la hora de revisar, la funda protectora de fábrica para la tablet no estaba, habiendo sido mencionada.....😔😔😔","Reviewed in the United States on February 21, 2024"
Steeven,La tablet muy buena y todo. Pero pensé que venía el estuche ya incluído en esa versión y al parecer no. Igual lo recomiendo mucho buena tablet.,"Reviewed in the United States on March 18, 2024"
El Managuita,"I am so glad I got Samsung tablet, instead of IPad's limitations. Works as expected: good picture, excellent computing speed, no crashes, and expansion memory capacity ( 1 terabyte intalled) work seamless with my phone I am able to answer my phone, emails, text messages from my tablet, even it has no phone line installed. GREAT to edit my photos anywhere if I am connected to wifi.","Reviewed in the United States on March 10, 2024"
Steven L. Walters,"I look to Samsung first for the most robust and dependable and utilitarian electronics. May not be as artsy as some others, but that's not what I use them for.","Reviewed in the United States on March 15, 2024"
Allen Fisher,"The size of the tablet (12.5"") provides plenty of space to view any kind of documents. There is a split screen feature that takes advantage of the extra viewing space. The tablet is much easier to hold if you have a case for it. Due to its size, it can be awkward to hold without a case. The processing speed is very good. Downloading is very quick. Battery life is adequate.","Reviewed in the United States on February 21, 2024"
selegear,"Very easy to set up even for an 81 year old lady. Has more features than I will ever use. I love the S-Pen. It is a real great feature! I am a Samsung Lady. Have been using their products (cell phone, TV, Tablet, washing machine, etc.) for a long time and always find they fit my needs. Very dependable. Highly recommend this tablet.","Reviewed in the United States on February 24, 2024"
Joao,"I bought this to my son to replace a Samsung tablet from 2017 that was struggling pretty hard with games like roblox and minecraft. I have to say that I'm very impressed with this tablet even considering it doesn't have a Snapdragon on it! Everything we have thrown at it has worked without any problems, without lowering the gaming experience and or performance. The speakers are also very good for what the tablet costs. I have an iPad Pro M1 and honestly, I found the volume and sound quality to be on par or very close to the iPad. The screen is crispy and smooth, with good definition, contrast and clarity. Very happy with this tablet and needless to say, my son is very very pleased with it.","Reviewed in the United States on February 1, 2024"
Windell Williamson,Good display. Very good battery life. Good range on wi fi compared to other devices I have owned. Screen slightly shiny for book reading but not a significant issue.,"Reviewed in the United States on March 15, 2024"
Tatia Electra quick-scott,It's worth buying!!!,"Reviewed in the United States on March 31, 2024"
LibraryLady,"Very nice tablet. I use to read my books. Very easy to set up, just transferred data automatically from my Galaxy phone. Sort of like a big phone. Only negative charging cord did not have a wall adapter.","Reviewed in the United States on February 27, 2024"
M.T,Great product. No issues and very useful.,"Reviewed in the United States on March 22, 2024"
matachang,"This tablet is just amazing !
The screen deliver great colours, the sound really immersive when watching a movie.
Light, so you can carry it everywhere easily.
The touchpen is great.

The best tab for me.","Reviewed in the United States on March 4, 2024"
craig la croix,"This is the first product that i have owned, in which the battery life is really 18 hours. I would charge my Tablet every 3 days. The picture quality is average and something that i really wish was better","Reviewed in the United States on February 19, 2024"
Pedro Ortegano,"Excelente tablet sin duda alguna. Sólo no doy 5 estrellas puesto a que en las especificaciones decía que venía con un protector tipo libro el cual nunca llegó, tuve que comprar uno aparte","Reviewed in the United States on February 22, 2024"
Constant Shopper,"It was hard to buy this, to me, expensive device.
I use my 2019 A tab all day long. (even though I have a very nice desktop computer and a fancy S22 ultra phone). I read, write, research, play stupid games, shop, watch videos, access my printer, do everything with it.
i\It can't stay connected to wifi 6, ane won't restart correctly. Some sites were not rendering correctly.
So, time for a new tablet.
It seemed like complete overkill to buy this tablet. Don't you think so? But it is a gift, that I was encouraged to accept.
We had a lot of AMEX reward dollars that made it easier to buy now that Amazon accepts them.
I was, again, encouraged to get this big size. It is pretty big. Is that necessary? I doubt it.
So far it runs well. It magically linked with my phone and now is a second phone. Along with my Samsung watch. See, I told you, too much stuff.
To me it charges very slowly. A full charge lasts a long time.
I am slow to get used to new things, but I think I like this device.
Maybe there was a tablet priced between the Tab A and this one. Ok this is the one between the tab A and the S9 tab, I get it.
I like that it is water resistant, but I never dunked the old Tab A.
I bet this new tablet will be $200 off in six weeks.
Oh, well.","Reviewed in the United States on December 20, 2023"
Mandi Oyster,My son wanted this to help him take notes in his college engineering classes. He's super excited about it and loving it so far.,"Reviewed in the United States on March 13, 2024"
Cristhian Mejia,"Tablet does everything I need it to, it is replacing my iPad Air2 from 2015 since iOS 15 crippled the still useful thing. It is now relegated to my content machine. I use this for work where I pair to my phone for emails, messaging, and network sites and PDF viewing. I work in aviation.","Reviewed in the United States on February 19, 2024"
Daniel Salcedo,"La compré para trabajo (diseño) y hasta el momento todo bien, es un buen equipo!!!","Reviewed in the United States on March 20, 2024"
Monica,"Muy útil, práctica, tamaño y peso perfectos. Súper recomendada.
Llego muy rápido","Reviewed in the United States on March 15, 2024"
Jack of all trades,"It has tons of real estate, upgradeable memory via MicroSD up to 1TB, it is thin and lightweight.","Reviewed in the United States on March 19, 2024"
Daniel Liboa,Muy buen producto,"Reviewed in the United States on March 19, 2024"
eddie tesson,Excelente condición. La obtuve buen precio 👍,"Reviewed in the United States on March 17, 2024"
Not as tough as a Casio. Should have known by the price.,Work and home.,"Reviewed in the United States on March 17, 2024"
Germillie,"Me encanta mucho, hermosa.","Reviewed in the United States on March 15, 2024"
Christa,I wanted a big screen and this was perfect runs smooth and connected to my phone so easy,"Reviewed in the United States on March 6, 2024"
Mike Spans,Great product through and through.,"Reviewed in the United States on March 15, 2024"
DB,"My wife and I each got one of these. All the processing power and storage we need for daily internet browsing.
Colorful screen. Speakers are adequate.
Large screen compared to 10.1s I have had before.","Reviewed in the United States on March 3, 2024"
Kesean,"I say this tablet is excellent plus really good at reasonable price & great for those people don't had money buy or don't wanted spend 800, 900 or 1000 dollars for tablet.
It had some features like full flagship tablet of Samsung tab s9, it had dex mode which can use like a laptop & come with s pen the speakers are loud enough watch videos and movies.
Tab s9 fe also had fingerprint Censor.
I Like how samsung give us options buy different colors of tab s9 fe unlike tab s9 only came with 2 color options.
Camera are good enough to take pictures and recording videos.
Samsung galaxy tab s9 fe is water & dust resistant so don't had worry about when it raining or getting dust on your tablet basically take with you everywhere.
There 5g options for this tablet now can.
Down side with tablet there no snapdragons chip inside of tab s9 fe at least samsung Optimize their chip so won't overheat y
The tablet.
Yet don't mind some Sacrifice of the features still worth buying.","Reviewed in the United States on October 30, 2023"
Jack Rickey,I like that I can take notes on this tablet and save it across all my Samusung Devices to review later.,"Reviewed in the United States on March 4, 2024"
ZK,"Good tablet, definitely better on my eyes than my older 8 inch tablet. I thought when I was researching this tablet that it supported wifi 6, but that is not the case. I have wifi 6 turned on and this tablet is unable to see it. Too bad, but still a nice tablet though I wish I could have bought it without the S pen that I will never use.

Okay, so it looks like it does support wifi 6 as there is a little '6' next to the wifi symbol, but it does not support wifi 6E 6ghz band. I bought a USB wifi 6E adapter and that worked as it should and detected the 6ghz band.","Reviewed in the United States on December 1, 2023"
Natalia V,"Me ha encantado! Por el precio es una excelente tablet, todo ha funcionado muy bien","Reviewed in the United States on March 5, 2024"
rick christensen,I have nothing but good to say about my new tablet. It's everything I wanted and was easy to set up.,"Reviewed in the United States on February 29, 2024"
Hassan Salameh,"Screen isn't crazy good, but its fine","Reviewed in the United States on February 17, 2024"
Dan,very nice,"Reviewed in the United States on March 14, 2024"
Linda Felton,I love the keyboard has large alphabet and numbers. Makes it so easy for me,"Reviewed in the United States on March 3, 2024"
Donna,The size is perfect for reading books and the battery lasts a long time.,"Reviewed in the United States on February 28, 2024"
edder,"Me ha funcionado perfectamente, la uso para editar fotos y videos y lo hace sin ningun problema, tambien le doy uso en mi trabajo en IT y es super versatil, y me ha servido como segundo monitor para presentar informacion de manera mas facil y fluida, es una lastima q no tenga salida de video debida q es USB 2.0, pero con screen share algo se hace. Full recomendada, aunque si tienen un poco mas de $$$ la FE+ o la S9 seria mejor.","Reviewed in the United States on January 22, 2024"
Cheynne,Works great the pen attaches in more than one spot which a love! I have had no issues with it. Took it on a road trip battery lasts a long time which is nice. Make lists and do homework on it.,"Reviewed in the United States on February 13, 2024"
Amazon Customer,"Slick. Easy on the eyes, and the wallet","Reviewed in the United States on February 27, 2024"
Ryan,"Says ""whats in the box"" : Tablet Cover Case. Never got it. But absolutely love the tablet. Recommend 10/10","Reviewed in the United States on February 20, 2024"
amorerar,"Contenido de la caja
Funda de libro inteligente.
No llego la funda es conveniente se revise mejor los artículos antes de ser enviados.","Reviewed in the United States on January 24, 2024"
Eficiente y rápida entrega,"Play Video
💯Excelente producto, un poco insatisfecha con la poca protección de la mercancía...😕 pueden mejorarlo...🤝Gracias de todas maneras!🙏","Reviewed in the United States on February 20, 2024"
Ebony,I got this for my 11yr old son for his birthday. it was delayed for a week but finally came and is running great!,"Reviewed in the United States on January 22, 2024"
Kristine Marsee,I really have been enjoying my new tablet. I wanted something with a pen so I can do more digital notes for various things like school and genealogy. So far it has been good. Be careful with the pin number! I didn't realize samsung erases everything if the pin code is forgotten. So now I'll probably have to factory reset and lose all my notes!,"Reviewed in the United States on April 10, 2024"
Nic B,Love it still learning more about the features 😁,"Reviewed in the United States on February 26, 2024"
Keith Henderson,"I wanted to get a tablet to use for sheet music and replace my binder of paper sheets.

It was very easy to start and set up.

So far, no issues. I which it came with a wall charger which I had to buy separately.","Reviewed in the United States on February 2, 2024"
Dave,"Display is crisp and very clear, colors on screen are very vivid. Processors are very fast for all of the tasks I ask of it. One speaker on each end equals very nice sound. The OS upgraded to Android 14 One UI 6.0 immediately upon plugging it into my wireless network. The OS takes up 15.28GB of space. Even after loading all of my apps, I still have 97+GB of free space. It is heavier than my 4 year old Galaxy Tab A 10.1 (2019), but I can still hold it with one hand for quite a while before fatigue sets in. I view this tablet as a very nice computer for the $$$ I spent on it. I believe I made a better choice than picking the Galaxy Tab A9+. Without a cover it can be a little slippery.","Reviewed in the United States on December 21, 2023"
Kenny Diaz,Muy buena tablet,"Reviewed in the United States on February 29, 2024"
john j lucasr jr,"personal use, very good product","Reviewed in the United States on February 24, 2024"
Douglas Cahill,"Samsung S9fe is a good reasonably priced 10.9"" tablet. I got the 256gb and installed a 512gb micro sd card. So I have plenty of space. My only complaint is that there's no case available except directly from Samsung. Amazon has been ""out of stock"" for a while. I do like the Spen, it's a real benefit. (I have swollen fingers), it's also a large enough circumference to hold comfortably. All in all I'm pleased. The data transfer from my old A7 to this went smoothly. I used the provided cable to connect both together and almost everything transferred, that's simply a extremely minor annoyance. (2 games) All in all, I'm a happy camper.","Reviewed in the United States on October 23, 2023"
Amazon Customer,These work great. They're a little dark but it's OK that you have to try to read the business card inside because nobody needs to see it until they really need to see it.,"Reviewed in the United States on February 4, 2024"
Robert Williams,"I like all of the features, but the wifi range is slower than my S23 cellphone","Reviewed in the United States on January 13, 2024"
Legio jesus,"Recommended, I would buy it again","Reviewed in the United States on February 20, 2024"
Alejandro J. Fúnez,"Its excellent for media and study, the display has good colors.","Reviewed in the United States on February 13, 2024"
clara,"Excelente!
La pantalla es grande!","Reviewed in the United States on February 17, 2024"
Justin R. Voigt,It does everything I want it to do - I was able to connect it to my phone using Bluetooth/tethering and it works well!,"Reviewed in the United States on February 5, 2024"
Nina,No soy fun Samsung pero mi mejor tablet desde siempre incluso mejor que ipad. La recomiendo 🥰,"Reviewed in the United States on February 5, 2024"
Fawaz Ajibola Adebayo,While it’s not built for gaming it does handles all other things efficiently,"Reviewed in the United States on February 5, 2024"
Robbinse,"Well worth the $$$. Had purchased a Chromebook 2 360, and couldn't get it to connect or sync. Contacted Samsung directly, actually found out difference between tablet and laptop, and this tablet is AMAZING! Zero problems connecting and setting up. Very easy and quick. Also ordered the Samsung Keyboard Case Cover & Screen Protector. Can't say enough... very impressed, and it's expandable, and yes it syncs immediately with your phone and other products. Thank you!!!!!","Reviewed in the United States on January 13, 2024"
"The device is very sophisticated, functions very well under extreme pressure","I like it's practicality and design. Especially for students, this is a must get!","Reviewed in the United States on February 4, 2024"
