Author,Review,Review Date
Ana,"Sobre o vendedor: Enviou o produto bem embalado, tudo correto e a NF chegou no e-mail.
Entrega: Fiz o pedido em uma sexta à noite e na terça o produto já estava na minha casa.
Sobre o Tablet: SENSACIONAL, usei antes para depois vir avaliar. A bateria tem uma durabilidade incrível, 4 saídas de som (parece uma caixinha de som), a imagem é perfeita e o sistema super rápido. Tem muitas funções! Eu estava em dúvida entre esse e o da Samsung, mas não me arrependo.
Escolhi a cor verde, é um tom bem suave e lindo!
Espero ter ajudado 🥰","Reviewed in Brazil on February 24, 2024"
hugo barradas,Supero todas mis expectativas,"Reviewed in Mexico on April 10, 2024"
Maravilhoso e o vendedor é muito atencioso!,"Amei , muito bom !","Reviewed in Brazil on April 10, 2024"
Pâmela d.,"Vou fazer essa avaliação conforme eu buscava encontrar informações quando estava procurando um tablet. Eu precisava de algo para estudar, então em razão das configurações, esse tablet atende perfeitamente a minha necessidade. Procurei a versão dele com 8gb de ram pra que ele fosse mais rápido. Uma informação que considero útil e não tinha visto antes, é que ele possui a função de dividir a tela, de forma que consigo utilizar o YouTube e um app de escrita ou outro conteúdo ao mesmo tempo (até coloquei uma imagem). Dessa forma, facilita muito para quem gosta de fazer anotações. O som desse tablet é maravilhoso, devido as quatro saídas e a tela também me surpreendeu na qualidade! Fiz uma excelente compra. No mais, ao chegar no Brasil ele foi tributado e o vendedor prontamente pagou a taxa bem rápido.","Reviewed in Brazil on April 6, 2024"
Antonio Amaral Flinco,ok,"Reviewed in Brazil on April 5, 2024"
Bibizita.,"Comprei esse tablet pra usar em estudos e até agora está sendo perfeito, a taxa da alfândega foi paga pelo vendedor, a entrega foi boa e estou muito feliz com minha compra! 💜","Reviewed in Brazil on March 31, 2024"
Larissa T.,"Comprei o tablet em 15/02 e foi entregue em 04/03 em perfeitas condições.
Fui taxada em R$ 60,23, paguei a taxa mas mandei o comprovante para o vendedor que reembolsou o valor em 2 dias na fatura do cartão e muito atencioso em responder às perguntas.
Quanto ao tablet muito rápido e não trava.
Vale muito a pena.","Reviewed in Brazil on March 4, 2024"
Marlon Fernandes,"Ameei o produto, chegou com 22 dias, o tablet foi taxado, mas o vendedor pagou tudo certinho!!","Reviewed in Brazil on March 22, 2024"
Cliente Kindle,Comprei para coisas básicas e funciona perfeitamente.,"Reviewed in Brazil on March 24, 2024"
Maria,"Veio certinho, demorou uma semana e meia pra chegar, gostei muito dele, fluido, ainda estou aprendendo mas já estou amando.","Reviewed in Brazil on March 13, 2024"
Brenda Figueroa,"Llego en perfectas condiciones, tengo casi un mes con ella y no e tenido ningún problema.","Reviewed in Mexico on March 26, 2024"
Jurandir Santos,"Play Video
O produto chegou bem antes do previsto, o som é de muita qualidade, o acesso a páginas pesquisas muito bom, o consumo da bateria varia conforme vc utiliza mas eu tô gostando do produto. Recomendo!!!!","Reviewed in Brazil on February 27, 2024"
Lanny,"Play Video
Vale super a pena , melhor do que esperava.","Reviewed in Brazil on March 7, 2024"
Walas,"Não é homologado pela Anatel. Tem um barulho na câmera, como se tivesse algum la coisa solta la.

Ele parece vazio por dentro, tipo oco. Não gostei. Trava um pouco, os mais exigentes devem procurar um processador + avançado","Reviewed in Brazil on March 12, 2024"
Das klaus,"Es un tema poder hablar con el vendedor, no da soluciones y se desentiende del problema.

Recomiendo Xiaomi?, obvio si!!!
Recomiendo al vendedor?, hay otras opciones.","Reviewed in Mexico on April 5, 2024"
Carlson Macêdo,"Tablet é bonito ,tava funcionando normalmente,até que um dia ao ligar o aparelho ele ligou funcionou só metade da tela ,a outra metade ligou com defeito,como mostra aí nas fotos e bom vídeo.. estávamos até satisfeito com tablet xiaomi +++ infelizmente ele não durou 1 mês de uso... Tomamos todos os cuidados ,colocamos capinha anti impacto,ficou o tempo todo em cima da escrivaninha,nunca caiu e nunca sofreu impactos,mesmo assim o produto deu defeito... fizemos a devolução pro vendedor + até o momento a compra não foi estornada,estamos aguardando uma solução por parte do vendedor e também por parte da Amazon... atenciosamente Carlson Macêdo...","Reviewed in Brazil on March 17, 2024"
Éricka Cristina Almeida dos Santos,"Ele é lindo! Gostei de tudo nele. Já começa que veio a versão global, não tive trabalho. A câmera e o som atende perfeitamente. Para carregar demora um pouquinho, mas nada que seja prejudicial. Gente e nota 10 para o vendedor, tive dúvidas sobre a entrega, todas as vezes que mandei pergunta obtive a resposta. E tudo bem explicado. Demorou um pouco para chegar mas veio em perfeito estado.","Reviewed in Brazil on April 12, 2024"
Maria,"Veio certinho, demorou uma semana e meia pra chegar, gostei muito dele, fluido, ainda estou aprendendo mas já estou amando.","Reviewed in Brazil on March 13, 2024"
Brenda Figueroa,"Llego en perfectas condiciones, tengo casi un mes con ella y no e tenido ningún problema.","Reviewed in Mexico on March 26, 2024"
Jurandir Santos,"Play Video
O produto chegou bem antes do previsto, o som é de muita qualidade, o acesso a páginas pesquisas muito bom, o consumo da bateria varia conforme vc utiliza mas eu tô gostando do produto. Recomendo!!!!","Reviewed in Brazil on February 27, 2024"
Lanny,"Play Video
Vale super a pena , melhor do que esperava.","Reviewed in Brazil on March 7, 2024"
Walas,"Não é homologado pela Anatel. Tem um barulho na câmera, como se tivesse algum la coisa solta la.

Ele parece vazio por dentro, tipo oco. Não gostei. Trava um pouco, os mais exigentes devem procurar um processador + avançado","Reviewed in Brazil on March 12, 2024"
Das klaus,"Es un tema poder hablar con el vendedor, no da soluciones y se desentiende del problema.

Recomiendo Xiaomi?, obvio si!!!
Recomiendo al vendedor?, hay otras opciones.","Reviewed in Mexico on April 5, 2024"
Carlson Macêdo,"Play Video
Tablet é bonito ,tava funcionando normalmente,até que um dia ao ligar o aparelho ele ligou funcionou só metade da tela ,a outra metade ligou com defeito,como mostra aí nas fotos e bom vídeo.. estávamos até satisfeito com tablet xiaomi +++ infelizmente ele não durou 1 mês de uso... Tomamos todos os cuidados ,colocamos capinha anti impacto,ficou o tempo todo em cima da escrivaninha,nunca caiu e nunca sofreu impactos,mesmo assim o produto deu defeito... fizemos a devolução pro vendedor + até o momento a compra não foi estornada,estamos aguardando uma solução por parte do vendedor e também por parte da Amazon... atenciosamente Carlson Macêdo...","Reviewed in Brazil on March 17, 2024"
Éricka Cristina Almeida dos Santos,"Ele é lindo! Gostei de tudo nele. Já começa que veio a versão global, não tive trabalho. A câmera e o som atende perfeitamente. Para carregar demora um pouquinho, mas nada que seja prejudicial. Gente e nota 10 para o vendedor, tive dúvidas sobre a entrega, todas as vezes que mandei pergunta obtive a resposta. E tudo bem explicado. Demorou um pouco para chegar mas veio em perfeito estado.","Reviewed in Brazil on April 12, 2024"
Maria,"Veio certinho, demorou uma semana e meia pra chegar, gostei muito dele, fluido, ainda estou aprendendo mas já estou amando.","Reviewed in Brazil on March 13, 2024"
Brenda Figueroa,"Llego en perfectas condiciones, tengo casi un mes con ella y no e tenido ningún problema.","Reviewed in Mexico on March 26, 2024"
Jurandir Santos,"Play Video
O produto chegou bem antes do previsto, o som é de muita qualidade, o acesso a páginas pesquisas muito bom, o consumo da bateria varia conforme vc utiliza mas eu tô gostando do produto. Recomendo!!!!","Reviewed in Brazil on February 27, 2024"
Lanny,"Play Video
Vale super a pena , melhor do que esperava.","Reviewed in Brazil on March 7, 2024"
Walas,"Não é homologado pela Anatel. Tem um barulho na câmera, como se tivesse algum la coisa solta la.

Ele parece vazio por dentro, tipo oco. Não gostei. Trava um pouco, os mais exigentes devem procurar um processador + avançado","Reviewed in Brazil on March 12, 2024"
Das klaus,"Es un tema poder hablar con el vendedor, no da soluciones y se desentiende del problema.

Recomiendo Xiaomi?, obvio si!!!
Recomiendo al vendedor?, hay otras opciones.","Reviewed in Mexico on April 5, 2024"
Carlson Macêdo,"Play Video
Tablet é bonito ,tava funcionando normalmente,até que um dia ao ligar o aparelho ele ligou funcionou só metade da tela ,a outra metade ligou com defeito,como mostra aí nas fotos e bom vídeo.. estávamos até satisfeito com tablet xiaomi +++ infelizmente ele não durou 1 mês de uso... Tomamos todos os cuidados ,colocamos capinha anti impacto,ficou o tempo todo em cima da escrivaninha,nunca caiu e nunca sofreu impactos,mesmo assim o produto deu defeito... fizemos a devolução pro vendedor + até o momento a compra não foi estornada,estamos aguardando uma solução por parte do vendedor e também por parte da Amazon... atenciosamente Carlson Macêdo...","Reviewed in Brazil on March 17, 2024"
Éricka Cristina Almeida dos Santos,"Ele é lindo! Gostei de tudo nele. Já começa que veio a versão global, não tive trabalho. A câmera e o som atende perfeitamente. Para carregar demora um pouquinho, mas nada que seja prejudicial. Gente e nota 10 para o vendedor, tive dúvidas sobre a entrega, todas as vezes que mandei pergunta obtive a resposta. E tudo bem explicado. Demorou um pouco para chegar mas veio em perfeito estado.","Reviewed in Brazil on April 12, 2024"
Maria,"Veio certinho, demorou uma semana e meia pra chegar, gostei muito dele, fluido, ainda estou aprendendo mas já estou amando.","Reviewed in Brazil on March 13, 2024"
Brenda Figueroa,"Llego en perfectas condiciones, tengo casi un mes con ella y no e tenido ningún problema.","Reviewed in Mexico on March 26, 2024"
Jurandir Santos,"Play Video
O produto chegou bem antes do previsto, o som é de muita qualidade, o acesso a páginas pesquisas muito bom, o consumo da bateria varia conforme vc utiliza mas eu tô gostando do produto. Recomendo!!!!","Reviewed in Brazil on February 27, 2024"
Lanny,"Play Video
Vale super a pena , melhor do que esperava.","Reviewed in Brazil on March 7, 2024"
Walas,"Não é homologado pela Anatel. Tem um barulho na câmera, como se tivesse algum la coisa solta la.

Ele parece vazio por dentro, tipo oco. Não gostei. Trava um pouco, os mais exigentes devem procurar um processador + avançado","Reviewed in Brazil on March 12, 2024"
Das klaus,"Es un tema poder hablar con el vendedor, no da soluciones y se desentiende del problema.

Recomiendo Xiaomi?, obvio si!!!
Recomiendo al vendedor?, hay otras opciones.","Reviewed in Mexico on April 5, 2024"
Carlson Macêdo,"Play Video
Tablet é bonito ,tava funcionando normalmente,até que um dia ao ligar o aparelho ele ligou funcionou só metade da tela ,a outra metade ligou com defeito,como mostra aí nas fotos e bom vídeo.. estávamos até satisfeito com tablet xiaomi +++ infelizmente ele não durou 1 mês de uso... Tomamos todos os cuidados ,colocamos capinha anti impacto,ficou o tempo todo em cima da escrivaninha,nunca caiu e nunca sofreu impactos,mesmo assim o produto deu defeito... fizemos a devolução pro vendedor + até o momento a compra não foi estornada,estamos aguardando uma solução por parte do vendedor e também por parte da Amazon... atenciosamente Carlson Macêdo...","Reviewed in Brazil on March 17, 2024"
Éricka Cristina Almeida dos Santos,"Ele é lindo! Gostei de tudo nele. Já começa que veio a versão global, não tive trabalho. A câmera e o som atende perfeitamente. Para carregar demora um pouquinho, mas nada que seja prejudicial. Gente e nota 10 para o vendedor, tive dúvidas sobre a entrega, todas as vezes que mandei pergunta obtive a resposta. E tudo bem explicado. Demorou um pouco para chegar mas veio em perfeito estado.","Reviewed in Brazil on April 12, 2024"
Maria,"Veio certinho, demorou uma semana e meia pra chegar, gostei muito dele, fluido, ainda estou aprendendo mas já estou amando.","Reviewed in Brazil on March 13, 2024"
Brenda Figueroa,"Llego en perfectas condiciones, tengo casi un mes con ella y no e tenido ningún problema.","Reviewed in Mexico on March 26, 2024"
Jurandir Santos,"Play Video
O produto chegou bem antes do previsto, o som é de muita qualidade, o acesso a páginas pesquisas muito bom, o consumo da bateria varia conforme vc utiliza mas eu tô gostando do produto. Recomendo!!!!","Reviewed in Brazil on February 27, 2024"
Lanny,"Play Video
Vale super a pena , melhor do que esperava.","Reviewed in Brazil on March 7, 2024"
Walas,"Não é homologado pela Anatel. Tem um barulho na câmera, como se tivesse algum la coisa solta la.

Ele parece vazio por dentro, tipo oco. Não gostei. Trava um pouco, os mais exigentes devem procurar um processador + avançado","Reviewed in Brazil on March 12, 2024"
Das klaus,"Es un tema poder hablar con el vendedor, no da soluciones y se desentiende del problema.

Recomiendo Xiaomi?, obvio si!!!
Recomiendo al vendedor?, hay otras opciones.","Reviewed in Mexico on April 5, 2024"
Carlson Macêdo,"Play Video
Tablet é bonito ,tava funcionando normalmente,até que um dia ao ligar o aparelho ele ligou funcionou só metade da tela ,a outra metade ligou com defeito,como mostra aí nas fotos e bom vídeo.. estávamos até satisfeito com tablet xiaomi +++ infelizmente ele não durou 1 mês de uso... Tomamos todos os cuidados ,colocamos capinha anti impacto,ficou o tempo todo em cima da escrivaninha,nunca caiu e nunca sofreu impactos,mesmo assim o produto deu defeito... fizemos a devolução pro vendedor + até o momento a compra não foi estornada,estamos aguardando uma solução por parte do vendedor e também por parte da Amazon... atenciosamente Carlson Macêdo...","Reviewed in Brazil on March 17, 2024"
Éricka Cristina Almeida dos Santos,"Ele é lindo! Gostei de tudo nele. Já começa que veio a versão global, não tive trabalho. A câmera e o som atende perfeitamente. Para carregar demora um pouquinho, mas nada que seja prejudicial. Gente e nota 10 para o vendedor, tive dúvidas sobre a entrega, todas as vezes que mandei pergunta obtive a resposta. E tudo bem explicado. Demorou um pouco para chegar mas veio em perfeito estado.","Reviewed in Brazil on April 12, 2024"
