Author,Review,Review Date
gail e. friebus,"I love the tablet, however, the one I ordered from Amazon I had to return. It was advertised as being the 5g model. When I took it to my internet provider, it did not have the correct chip holder for wifi operation! I ended up getting the same tablet, but with the correct chip card holder, from my provider and returning the one to Amazon. I wanted the new Samsung tablet especially for its 5g capabilities. I figured out later, that was probably why the Amazon one was a lot less in price. Still a wonderful tablet! And, Amazon readily took back the original one.","Reviewed in the United States on April 4, 2024"
Samiul Sami,"I'm giving it a 4 out 5 stars because I'm a be honest with you. I HOPE THE WAY I WRITE THIS DOESNT MESS UP!
Pros:
● Big Screen
● 90Hz Refresh Rate (Not Adaptive Btw)
● 1080p Quality (1920x1080 not changeable just FHD)
● Big Battery Life
● Can Game but remember 64GB Storage = 4GB RAM but 128GB Storage = 8GB RAM
● Micro SD Card (Up to 1TB)
● I think u can put SIM Card too (Maybe)
● Has Samsung Dex (To Turn it into a mini PC)
● Has the 3 dots on the edge for keyboard and mouse
● Cheaper than the S Models of Samsung Tablets
Cons:
● TFT Panel (Looks LCD to me, but it doesn't have OLED)
● Colors are not as good as OLED devices which is too be expected.
● Charging Takes Long but last awhile, just not sure what is the maximum fast charging it can take. (Maybe 20 watts).
● Doesn't have S-Pen
● No 120Hz Refrest Rate (Not ADAPTIVE 1-120Hz)
● No QHD+ (2560x1440p)
● Viewing Angles are alright but you can notice the LCD/TFT display always the blacks are not looking black instead it's dark grayish.
● Camera is okay, still blurry.","Reviewed in the United States on March 5, 2024"
It'sMe412,"I upgraded from a Galaxy A8 and loving this tablet, except for the current software bug effecting these A9 models. There is an issue with the multi-point touch such as when pinch zooming or playing a game that involves 2 fingers touching at the same time. It is very glitchy. You kinda have to finesse the pinch zoom with a light touch and it will work. If you don't play games and aren't constantly using the pinch zoom function which most probably aren't, you will hardly notice the issue. Though if you play games involving multi-touch, this will be a problem for you. Strangely though, if you plug corded headphones into the jack, the problem stops, really weird. It does seem to just be a software bug though and Samsung should be able to fix the problem with an update patch. Unfortunately little problems like this are just part of the technological world we live in now and occasionally happens to the devices we use and they need to be updated. Other than that though... This tablet feels nice and light, runs fast and smooth with the upgraded processor and increased 8GB of RAM on the A9+ model, and the screen has a beautiful bright picture with nice deep and vibrant colors. I did a side by side HD video comparison with my A8 and the picture on the A9 is quite a noticeable improvement. And I see people saying that there's didn't come with a charger as if it's a mistake. It is not a mistake, Samsung doesn't send chargers with their products anymore. They say it's to minimize their impact on the environment or whatever, and also because I think they know most people have plenty of charging blocks and USB C cables laying around at this point being that so many products use them now, and if you don't you can buy one very cheap. With all that said, if you can deal with the current multi-touch problem until it's fixed, I highly recommend getting this tablet as everything else about it is great!","Reviewed in the United States on February 3, 2024"
wjt,"My 2017 8"" A8 is getting long in the tooth. I've had some software incompatibility show up. Android 9 doesn't cut it anymore. The battery is also starting to lose charge a bit. The A9+ has Android 14 and a new battery, so those issues are gone. Everything seems to work according to Samsung's usual high standards. People in reviews seem to complain about slow charging. It's 2024 folks. My fast chargers have no problem charging it up in a few hours.

My one complaint is the size. 11 inches is great for sitting on a desktop and viewing things, but I have a television and a laptop for that. I miss the old A8's 8"" screen that allowed for comfortable hand-holding. Alas, even the new A8 is 10+ inches. I looked at other brands, but Samsung was still the best bet.","Reviewed in the United States on March 22, 2024"
Ed,"Bought for chef at restaurant I work at. He photographs the dishes with the camera feature and the picture quality is awesome. Whenever he's off, the other chefs can use the tablet to reference the dish in question. He also photographs new dishes and sends them to the owners to inquire on a possible new special.","Reviewed in the United States on April 10, 2024"
Sgt Ducttape,"This tablet has been doing very well for me. There is a transfer program built in that helps you step by step move your data from your old Samsung Galaxy Tab to this new one. The processor is very good, there is a plentiful amount of RAM, and there still are ports you can plug into. I got the ""HXCASEAC Case for Samsung Galaxy Tab A9+/ A9 Plus Case 11 Inch"", and it is also the second time I've bought this case. Protective rubber, and a built in screen protector. Shamefully I was upgrading from a Tab 7, and probably wouldn't have done that if the batteries hadn't swollen and gotten hot. But back to this tablet. If you've had a Tab before, worry not, here things just got better. The colors, the feels, it's all there. I purchased a 1TB MicroSD card and it has a home in this Tab 9+. Beyond that I'm not sure what I can say about this Tab, oh yeah, it's from Samsung so it's full of Samsung goodness.","Reviewed in the United States on February 27, 2024"
Dayersi Possamai,"Al principio dudé, porque al ser una tablet siempre dudo si será buena o no, o si será rápida. Pero debo confesar que esta tablet me ha sorprendido. La compré para mi hijo de 5 años para su trabajo escolar. Es muy rápida, liviana con un sistema operativo amigable y actualizado. Cumplió 100% mis expectativas","Reviewed in the United States on April 11, 2024"
Carroll M,"I use my tablet constantly for playing games, having virtual Doctor's appointments, online shopping and online banking. It is very fast, fastest I've ever had actually, and it is so easy to use. I absolutely love how thin it is and lightweight. Because a lot of them are super heavy for what they are. I love that this has a 128 GB of storage. Cause I can have any app that I have Heart set on and I don't have to worry about anything going over. Or having backup storage. You can also use a microSD card with it. I have not needed to but I do own one if that is ever needed. Overall. This is the best tablet I've ever owned and I've owned a lot of different tablets over the years. I love this more than my previous iPad. And my previous Kindle HD 10 highly recommended. 10 out of 10","Reviewed in the United States on March 8, 2024"
Saving ❤️Bear Bear❤️,Ok so I originally tried the Amazon Fire because it claimed to be so awesome. I'm still waiting for the refund. But this Samsung so far has been a jewel for me. So far so good. Very happy to have found this one for 10$ less than the Fire that has no special features,"Reviewed in the United States on April 9, 2024"
"JHR Installations, LLC","I was looking around for a Samsung tablet and found a variety of them priced all over the place. I ordered one for $79 and it ran out of memory very quickly. I was constantly deleting photos and music in order to have enough memory for my apps. I realized I needed something with a lot more memory.
I looked at some of the Samsung Tablets that cost as much as $800 before settling on the Samsung Tab A9+
It's probably not as good as the top of the line Samsung Tablets, but on the other hand it was only $199. and for that price it's a bargain.","Reviewed in the United States on March 10, 2024"
Mildred S Brock,"We have has the A9+ a couple days now. We have each has Samsung tablets for several years. We have liked them. This one has features to love. We have, however, spent more time with it on the charger than in our hands","Reviewed in the United States on April 11, 2024"
J A,"Maybe my old tablet was just too old to not appreciate the evolution and trends of tablets in general, but the screen on this tablet is so much nicer than what I had previously. Definitely it has a speed/performance advantage as well.","Reviewed in the United States on April 5, 2024"
The Bluescaster,"Best work tablet I've had, the only reason for taking off 1 star is the battery takes 2 or more hours to charge up from 30%, and it drains down to that in about 3 hours of use.
That's with a brand name rapid charger, and a high quality cable. As others have mentioned, the USB receptacle takes extra care to plug in firmly. A small hassle, but worth it to me for the overall performance.","Reviewed in the United States on March 27, 2024"
david forrest,As far as I'm concerned everything should be made by Samsung it is a great company the color is vivid ease operation touch works great put a cover on it in a safe screen high performance product great job,"Reviewed in the United States on April 9, 2024"
jonathan,"I bought this to use as an inexpensive tablet I could use while backpacking. I was looking for something really basic that I could read at camp, check maps, and listen to music offline while hiking. Being a Samsung, it meant I would be able to find a decent case for it to provide at least some basic protection. If it got damaged during the hike, well... it was a cheap tablet so it should be good enough.

It had 55% battery when it arrived, so I plugged it into a USB-C cable I had plugged into the USB port on my wall outlet. I figured this would be alright since it would need to be charged from a portable power source in the field anyway. After 48 minutes, it managed to charge only to 64%! I wanted to err on it being my cable, so I plugged it into a USB-C power brick instead and put that in my outlet. My wall outlets are 20w, and this requires 15w to charge, so it should totally work.

It managed to hit 100% 4.5 hours later. Taking four and a half hours to charge anything 36% is insane. When I finally was able to power the tablet on, the screen was so dim, I could barely see anything. After rushing through the typical Android setup, I managed to increase the display brightness to around 50%. After installing 3 apps, I noticed that the battery was at 93% for less than a half hour of use.

I definitely do not recommend this tablet. The cons far outweigh the pros in this device, especially since finding a budget tablet is not really that hard to find these days.","Reviewed in the United States on April 3, 2024"
MusicsMyLife29,"I bought this as a second tablet besides my S6 Lite. I love it because of the bigger storage and the picture and sound quality are amazing. The screen is several inches bigger than my S6 Lite but it's not too big. The only thing I didn't like was that it didn't come with the S Pen (which I know it didn't) but bought some capacitive stylus' and problem solved. Overall I am very happy with this tablet. I will always stick to Samsung for phones, air buds, and tablets as they are hard to beat!","Reviewed in the United States on March 16, 2024"
John Giles,"This is supposed to be the lower end affordable tablet.....I honestly like it better than the more expensive flagship tablet I got my wife!!!! The speakers are phenomenal, the picture is top shelf. I highly recommend!! Also awesome it included headphone jack and SD card expansion up to 1TB!","Reviewed in the United States on April 6, 2024"
Amazon Customer,"The lighter weight makes this tablet easier to use than my last Galaxy. I really trust Samsung products, they always have superior quality and ease of use. Will buy again in future if need be.","Reviewed in the United States on April 8, 2024"
Jean,I got my tablet on Saturday. I am very happy with 8t. It was easy to set up. It's fast. Everything I needed is in this tablet. So far I love my new tablet. I recommend ordering this tablet for yourself.,"Reviewed in the United States on April 5, 2024"
RJ,"I've always had the best Galaxy tablets, the S series. Thought I'd try A series. Verdict: not quite as quick or sharp as S but overall satisfactory.

What you'll notice most: a little hesitation and jerkiness when you pinch or expand screen size with your fingers. Works better when you resize a little slower and smoother.

Update on 3/3/24: That ""hesitation and jerkiness"" when you use fingers to pinch/expand screen is worse than I thought, it's intolerable. I'm going to live with it, for now, but contrary to what I wrote I would not buy A9+ again. For $200 more I could have had the crispness, speed and smooth functionality of the S9.","Reviewed in the United States on February 29, 2024"
Cullen Burch,"I purchased the Samsung Galaxy A9+ 8/128 model and inputted a 128 GB Samsung SD card and am able to offset app space and downloads right to the card to conserve space. I have had the tablet for a week and have no speed or input issues, and visually the tablet itself is sleek. I am using for work and have had no productivity issues sharing service and apps between my ZFold 3. I recommend purchase, I shopped around for two months and am happy with my choice. Will provide update in 6 months but anticipate no issues. Battery lasts roughly 32 hours on full charge with mid to full use each day. I am happy with that. Fast charging is complete in 1.5 hour's from 5%. Regardless, research anyway and make the best choice for you.","Reviewed in the United States on February 25, 2024"
George,"Very nice Samsung tablet, lots of storage. Big battery but can not be fast charged. Last night I was at 27% battery. I plugged it in and this morning it was only on 83% (7 hours.)
S pen does not work on this tablet. You can draw in Samsung notes but you can't write with a stylist.
It's a little too big for holding it. But it's great on a table or desk.
Over all a great tablet at a great price.","Reviewed in the United States on March 3, 2024"
lorraine hird,Purchased another tablet but found it difficult for a tech challenged person to use. This tablet was easy to set up and easy to use.,"Reviewed in the United States on April 11, 2024"
Jermaine Pease-Burrell,I haven't personally owned a tablet that I loved since the Nexus 7 which still bring back fond memories. You cannot go wrong with this tablet buti have to be honest I'm a samsung guy. Another great product that I use for college and for my personal Bible study.,"Reviewed in the United States on March 28, 2024"
Amazon Customer,"The A9+ is a good general use product. It doesn't have a high res screen with OLED or 120Hz, but it gets the job done. I really appreciated the headphone jack and MicroSD card slot. However, I wish it had a fingerprint reader and front-facing speakers. The screen is sharp at this size but it dims noticeably off angle. Luckily, the battery charges quickly. Also a case can be gotten on Amazon for under $5.00.","Reviewed in the United States on March 5, 2024"
Ashley,"No issues so far, i use this for bills and app i dont want on my phone. everything i needed was available for download so thats a plus for me.","Reviewed in the United States on April 5, 2024"
andrew turley,"The tablet fits my needs to a T. Now you can 100% notice it's a 1080p resolution and 60hz refresh rate. It's definitely a budget tablet, but plays games no problem, screen is nice and bright, and the speakers sound pretty good. If you don't mind the lower resolution and refresh rate then this is the best option for you.","Reviewed in the United States on March 24, 2024"
Dwayne,This tablet could be made by anyone. There appears to be no external branding. However it is all Samsung in it's operation.,"Reviewed in the United States on April 6, 2024"
matt,I was promised a case with this product to no avail I called Amazon and they took 10% off my purchased however now the tablet is selling for a great deal lower than what I paid for it terrible advertising the sound is very good with this tablet however the charging takes a very long time the battery life is mediocre I would return the product to get to get the product $50 cheaper but I don't want to go through all the trouble beware it does not come with a case that's the reason why I purchased it that and the sound quality,"Reviewed in the United States on February 15, 2024"
blackswan,"Extremely satisfied with my purchase bought this one to upgrade from Amazon fire 10 ,and glad I made the choice .I like it better than any other tablet I've had screen is a great size for less strain on the eyes .","Reviewed in the United States on March 27, 2024"
Daniel,Hasta ahora feliz con la compra instalando y actualizando las aplicaciones. Llego todo perfecto por dhl,"Reviewed in the United States on April 11, 2024"
judy,"I love the tablet only complaint, you need to send a compatible plug.","Reviewed in the United States on April 5, 2024"
Wa AKL,"Good quality, and uses the same OS as my phones. Transferring files was a BREEZE! I would do business with this seller again.","Reviewed in the United States on March 30, 2024"
Joanne Olmstead,"I use this every day, it's fast, and glad I got it","Reviewed in the United States on April 8, 2024"
Jocelyn Olmos,I bought 2 tab from this seller the first one was brand new and saw how good it was I order a 2nd one for my niece the second one i got it was not brand new it had the sticker when you give a second chance an item I know and i remember well I order a new one not a used one I dont mind this but please state what one is ordering because i paid for a brand new item and it came in a bag,"Reviewed in the United States on February 26, 2024"
MARIA DEL PILAR,"No me llego la cubierta que venia con la tablet según foto, me llego una cubierta q venia con el vidrio pero con la tablet no llegó.","Reviewed in the United States on March 23, 2024"
Lorenza J.,I love this tablet connected perfectly with my android. Doesn't lag and so manyyyy features! Get it!,"Reviewed in the United States on April 2, 2024"
Spunk,"Tablet really nice but its static alot.
Takes a long time to startup and sometimes screen cannot be cleared. I really miss my Samsung T820 Tablet its broken that's why i got this A9+ but it's lagging. I should be returning shortly/exchanging 😔","Reviewed in the United States on March 16, 2024"
Shelly W,"I had to replace my tablet ASAP, and this was the upgrade. This was $100 less than what I was going to pay at my retailer. Exact same tablet. It works great, is a great size. Great purchase! I'm so happy with this tablet!","Reviewed in the United States on March 25, 2024"
Sinfun Chiang,"EL PRODUCTO EN SI ESTA MUY BIEN, CUBRE MIS NECESIDADES PARA EL MOMENTO. LO UNICO MALO ES QUE EL PROVEEDOR OFRECE LA FUNDA DE LIBRO GRATIS CON LA COMPRA PARA EL COLOR GRAFITO Y AL FINAL NO LA TRAE... IGUAL ME QUEDE CON LA TABLET Y COMPRE UNA FUNDA APARTE !!","Reviewed in the United States on March 14, 2024"
Santiago,This tablet is nice! I'm very happy with it! Does everything with no lagging and very nice!,"Reviewed in the United States on March 30, 2024"
Larry M,"After a long long time my old Samsung 7"" tablet finally conked out. It was too slow and didn't have enough storage anyway. I knew I was going to buy another Samsung, but wanted a good deal. I splurged and bought the SAMSUNG Galaxy Tab A9+ 11” Tablet w/ 128GB of storage. My God this is super FAST.... If you are watching a video it's like having a small TV in your lap, table or hand. The speed and storage is incredible. Plus lots and lots of new features since my old one. (Suggestion: buy a screen protector and a cover to keep it like new)","Reviewed in the United States on March 7, 2024"
Cristian A,"A little heavier than expected, but not by much. Other than that, the best you can get at this range price.","Reviewed in the United States on April 6, 2024"
Gordon,"It's a Samsung A9+ 5G, what's not to like, no more wifi if I don't want connect to it in public locations. Loaded software is more than adequate to do most all of your basic work or play, music and videos needs, will buy again.","Reviewed in the United States on March 13, 2024"
Amazon Customer,I returned due to I needed wireless service not just wifi.,"Reviewed in the United States on April 10, 2024"
tlharmon,I mostly use it for Facebook in my library app to read books. It works great and I love it.,"Reviewed in the United States on April 6, 2024"
Kirvy,La tableta está muy buena esta grande y por el precio vale la pena para redes sociales y música y entretenimiento. Vale. La pena,"Reviewed in the United States on April 2, 2024"
Ellen,Very happy with tablet and case,"Reviewed in the United States on April 1, 2024"
K Smitty,I have been using this tablet for a few weeks and love it. No glitches or delays. Would purchase again.,"Reviewed in the United States on March 28, 2024"
Amazon Customer,"Received my tablet in 1day really not even 24hrs . Opened the box
connected with a QR on my phone
and my setup was complete in less than 10 minutes. So far our bonding is going well.","Reviewed in the United States on March 17, 2024"
Edward Carpenter,"Great tablet BUT it doesn't come with a charger that I was unaware of, so if you going to buy this device make sure you buy a type C charger with it because it doesn't come with one. It comes with the charger cord but not the charger adapter that you plug into the outlet.","Reviewed in the United States on March 8, 2024"
corey cutright,I like the big sceen and it being the A series for the budget price.,"Reviewed in the United States on March 29, 2024"
Olga,"Inexpensive, easy to navigate, works as intended.","Reviewed in the United States on April 6, 2024"
~Lust for Life~,"Like everything about this unit...
Sound system is incredibly perfect with 4 speakers...case for this tablet with its 11"" screen is a tad difficult to find but is attainable here on Amazon.just pay CLOSE ATTENTION TO THE SCREEN SIZE...EZY TO M AKE MISTAKE...FAST....SAFE..DELIVERY..ALL GOOD ........RAS24'....","Reviewed in the United States on March 12, 2024"
Lydia Woltz,"I bought so that I could use Smart View to Cast Dribbleup on to my Roku TV. I tried lower versions but they either didn't have a high enough Android OS (original (not updated) 12+ which messes up the dribbleup sound) or they didn't have SmartView software to wirelessly cast. I bought/returned about 3 samsungs before I found a good one and I didn't want a phone version just because it would have been too small without the TV. So this worked. The only thing is that I have to search for smartview when I'm in settings, I can't just scroll down to it like I'd like to.","Reviewed in the United States on February 8, 2024"
Laine Scheetz,The tablet is an excellent product and is easy to setup and use.,"Reviewed in the United States on April 2, 2024"
Kelly,"Wouldn't recommend it for gaming, otherwise it works quite nicely as a media device.","Reviewed in the United States on March 29, 2024"
Sharron Delzer,This was a birthday present for my husband. It's just what he wanted.,"Reviewed in the United States on April 6, 2024"
pam thompson,I replaced my Lenovo with this. I should have gotten Samsung in the 1st place.,"Reviewed in the United States on March 23, 2024"
Kris,Works great and priced at a awesome price.,"Reviewed in the United States on April 7, 2024"
jennifer,It's perfect for what I wanted,"Reviewed in the United States on April 9, 2024"
Georgia Elder,This thing does everything I need and I love it. It's very fast and has an memory to hold all the games I want to play.,"Reviewed in the United States on March 17, 2024"
Angel Roman,"Memory good Battery has good life, faster than Galaxy A tablet, all streaming apps work well.","Reviewed in the United States on April 6, 2024"
sandi,"I purchased a different tablet 2 years ago, it was so slow I reset it to factory settings it was just useless LOL I did my research and all the fingers pointed by this! And boy am I glad I did! It was delivered to my house in like 2 days fantastic price and it has a speed as fast as a bullet! I am so loving this tablet! It absolutely does everything! If I had an extra thumb I'd give it three thumbs up LOL","Reviewed in the United States on February 29, 2024"
Rod Taylor,Tab fits small organization or personal use perfectly 👌,"Reviewed in the United States on April 4, 2024"
joe smith,"The tablet does the job. The only draw back is the Super slow recharge speed. And if you're looking for a good S pen at low price. The CCIVV Stylus Pen 2 in 1 Fine Point & Mesh Tip Stylus for Touch Screen, Compatible for Tablet and Cellphone works great with the tablet.","Reviewed in the United States on March 2, 2024"
Caven,Have no complaints Great tablet,"Reviewed in the United States on April 8, 2024"
Roberta stone,Nice,"Reviewed in the United States on March 27, 2024"
Daniel Caldwell,"I really like this tablet. It's fast, the screen is big and clear. Also, since I have a Samsung phone, it quickly moved all of my apps over to the tablet. The sound also is really good. I purchased it to mainly watch movies, and stream shows from my apps. So the clarity is good, the sound is good. Surfing the internet with Wi-Fi has been quick also. Quality and price cannot be beat.","Reviewed in the United States on February 28, 2024"
Nicole R.,"Bought this to work with my Cricut Joy, able to link up","Reviewed in the United States on April 1, 2024"
Edward K,"No complaints whatsoever. Good size, fits the hands well, clear and sharp screen, fast. And the battery lasts forever. I use it lightly (for the record), but it has been on for over 2 weeks and is still around 20% battery.","Reviewed in the United States on March 13, 2024"
Juan Guillermo Rueda,Versatile for kids homeworks,"Reviewed in the United States on April 6, 2024"
Denny,Fairly easy to copy everything from existing old Samsung tablet,"Reviewed in the United States on March 19, 2024"
Jen,"I had a Fire tablet which was great, but my cat decided to launch it off my dresser and the screen broke. So, this is my replacement. I have a Samsung phone so this was a no brainer for me. It does everything I need and allows me to be work productive.","Reviewed in the United States on March 6, 2024"
Vickie Rumsey,I ordered this tablet for my husband because his old one was getting really slow and he wanted to upgrade! The new one was just what he wanted and it's big enough for him to see with ease. It was reasonably priced too!,"Reviewed in the United States on March 6, 2024"
Alan H,"My husband has the earlier version of this tablet. I would walk by and see him enjoying using it. That said, I really wanted it for music and solitaire and reading the news with these older eyes and just surfing for stuff. Got it, loaded it up ( took a while)and after 2 days of use, asked myself...."" what took you so long to get one""? Its wonderful. The sound quality is amazing and the screen quality.....perfect. Went back for a really pretty girlie case to have it sit on my lap. Who needs a "" apple""? Not me. Thank you !!!!","Reviewed in the United States on February 23, 2024"
Tool Guy,Very happy with it.,"Reviewed in the United States on April 6, 2024"
Susie,"I've only had the tablet for a little over a week, but love it so far. I wanted something smaller than the laptop for traveling and it's perfect. I was able to get all my apps loaded. My kindle app has all my books. I can manage my bills on this, I can listen to music or even watch a movie. It's lightweight, after charging it the first time I didn't have to charge it again for 9 days. So far it's great.","Reviewed in the United States on February 14, 2024"
Ed Humphreys,Ease setup... perfect size! Travel ready....get the case and charger with it!!,"Reviewed in the United States on March 24, 2024"
Alejandro Burgueno,"Delivery on time, good seller","Reviewed in the United States on April 12, 2024"
Jerome McDonald,"This tablet is really big and runs smooth. I have zero complaints, the camera isn't the best of the best but who buys a tablet for the camera. The performance, battery life, screen resolution are top notch. You won't be disappointed.

I want to mention though that this is a Wi-Fi only version of the tab A9 Plus so you can't use a physical SIM card nor an e Sim.","Reviewed in the United States on February 23, 2024"
Alice 41,"Good size, price, and performance. Wish the little set-up leaflet had more explicit instructions. If I were not a long-term Samsung and android user, I'm not sure set-up would have gone well. Overall I am satisfied and would recommend. I have zero interest in games, so can't speak to that aspect.","Reviewed in the United States on March 3, 2024"
Kenny,I have had the A9+ now for 10 days so I have got a good feel for it and as far as tablets under $250 this will be tough to beat. I love the big screen that comes with it. It's great for Netflix and YouTube or anything else like that. You don't get 4K with this tablet but 1080 is more than good enough. You get great audio and the battery life is exceptional. On a full charge you get 2 days of use and thats with me heavily using it. I recommend getting the 128 gb version of this tablet given its a tremendous value. If you are use to using a laptop or a PC this tablet comes equipped with Samsung Dex which gives you that same look and feel so that's a big plus. Overall it's a really good tablet for the price that comes with a lot of bells and whistles you see with a expensive tablet. I highly recommend!,"Reviewed in the United States on February 10, 2024"
